"CASE"	"SERIAL"	"REF"	"QUESTNNR"	"MODE"	"STARTED"	"SD01"	"SD15_01"	"SD15_01a"	"SD19_01"	"SD20_01"	"ST01"	"ST01_01"	"CO17_01"	"CO17_02"	"CO17_03"	"CO25_01"	"CO25_02"	"CO25_03"	"CO30_01"	"CO30_02"	"CO30_03"	"CO19_01"	"CO19_02"	"CO19_03"	"CO31_01"	"CO31_02"	"CO31_03"	"CO21_01"	"CO21_02"	"CO21_03"	"CO27_01"	"CO27_02"	"CO27_03"	"CO18_01"	"CO18_02"	"CO18_03"	"CO29_01"	"CO29_02"	"CO29_03"	"CO22_01"	"CO22_02"	"CO22_03"	"CO20_01"	"CO20_02"	"CO20_03"	"Z101_CP"	"Z101"	"Z102_CP"	"Z102"	"Z103_CP"	"Z103"	"OP01_01"	"OP02_01"	"OP03_01"	"OP04_01"	"TIME002"	"TIME003"	"TIME004"	"TIME005"	"TIME006"	"TIME007"	"TIME008"	"TIME009"	"TIME010"	"TIME011"	"TIME012"	"TIME013"	"TIME_SUM"	"MAILSENT"	"LASTDATA"	"FINISHED"	"Q_VIEWER"	"LASTPAGE"	"MAXPAGE"	"MISSING"	"MISSREL"	"TIME_RSI"	"DEG_TIME"
49			"base"	"interview"	2022-08-08 18:14:01	1	"Hausfrau"	F	42		1	T	7	4	5				7	6	6	7	6	6				7	7	6				7	4	5	7	7	6	6	4	6	7	5	6	2	1	1	2	1	2					30	13	31	9	109	2	30	28	77	2	27	3	361		2022-08-08 18:20:02	T	F	13	13	15	2	1.25	39
104			"base"	"interview"	2022-08-08 18:36:18	1	"Hausfrau"	F	58		1	T	7	7	5	4	4	3							6	6	6				6	6	6	7	7	7	3	3	3	6	6	6	6	6	6	3	2	1	1	1	1					14	17	8	10	44	9	29	26	48	7	50	3	265		2022-08-08 18:40:43	T	F	13	13	15	2	1.12	9
123			"base"	"interview"	2022-08-08 19:40:32	2	"wissenschaftlicher Mitarbeiter"	F	36		1	T	5	5	5				6	4	6	7	6	7				7	6	7				3	3	3	7	7	7	7	7	7	5	4	5	3	1	2	2	2	2	"1. Das Beispiel passt nicht gut zum Szenario. In einem werden die label bzgl. einer ""Ausgangsperson"" gegeben. D.h. Petra hat die ""Kategorie"" Mutter, weil sie ausgehend von einer anderen Person die Mutter ist. Wenn unsere ""zentrale Person"" Max heißt, müsste es also heißen ""Petra ist Mutter, weil sie weiblich ist und Max ihr Kind ist.""

2. Die erste Erklärung ist schon sehr gut und enthält alle Bedingungen, die man wissen muss, um etwas als Mutter zu klassifizieren. Da hilft das negative Beispiel nicht wirklich."				16	15	78	11	294	19	69	29	85	9	31	3	595		2022-08-08 19:51:31	T	F	13	13	12	2	0.73	2
183			"base"	"interview"	2022-08-09 09:38:07	2	"Ingenieur "	F	32		1	T	7	7	7	6	6	5				7	7	7							4	7	6	7	7	7	6	7	6	5	7	6	7	7	7	4	1	2	1	2	1					5	13	19	6	56	7	48	15	55	7	81	2	314		2022-08-09 09:43:21	T	F	13	13	15	2	1.24	16
186			"base"	"interview"	2022-08-09 09:42:16	1	"Physiotherapeutin "	F	31		1	T	7	7	5				4	6	4				6	6	6	2	2	4				7	5	5	6	6	5	5	5	4	3	4	4	4	2	3	2	3	2					8	34	32	16	155	43	37	37	122	17	56	3	529		2022-08-09 09:51:36	T	F	13	13	15	2	0.65	1
189			"base"	"interview"	2022-08-09 09:46:01	2	"Student"	F	23		1	T	6	5	7				6	6	6				7	2	5	3	3	5				4	5	7	7	7	5	7	6	7	7	3	6	4	2	3	2	3	2					10	12	3	6	48	11	26	15	22	225	17	4	182		2022-08-09 09:52:41	T	F	13	13	15	2	1.49	36
193			"base"	"interview"	2022-08-09 09:50:03	2	"Handwerk"	F	24		1	T	4	4	2	4	4	6				4	6	4							2	2	2	4	4	4	3	3	6	3	3	5	4	4	4	5	1	3	1	3	1					17	23	2	6	67	2	30	2	28	1	15	2	195		2022-08-09 09:53:18	T	F	13	13	15	2	1.94	131
199			"base"	"interview"	2022-08-09 09:52:35	1		T	30		1	T	6	5	7	7	5	6							6	4	5				6	5	6	5	7	6	5	7	6	4	7	5	5	7	5	6	2	4	1	4	1					4	20	4	4	49	4	26	1	18	3	14	3	150		2022-08-09 09:55:05	T	F	13	13	15	2	2.25	98
200			"base"	"interview"	2022-08-09 09:52:47	2	"IoT Solution Architect"	F	25		1	T	6	5	5				3	5	5				5	6	5				7	7	7	6	5	5	5	5	5	3	5	3	6	6	6	7	2	5	1	6	2					25	161	17	10	557	31	87	28	79	7	65	3	436		2022-08-09 10:10:37	T	F	13	13	15	2	0.62	1
202			"base"	"interview"	2022-08-09 09:53:03	1	"Infosec"	F	30		1	T	5	5	6				5	5	5	5	5	6				5	5	5				5	5	6	5	5	5	5	5	5	6	6	6	6	1	5	2	5	2					6	11	11	8	100	48	33	202	29	31	64	2	305		2022-08-09 10:02:08	T	F	13	13	15	2	1	13
204			"base"	"interview"	2022-08-09 09:57:43	2	"Informatiker"	F	30		1	T	5	7	1	7	7	1							6	5	1				7	7	1	5	7	1	7	7	1	7	7	1	5	5	1	7	2	6	1	6	1	"Die Frage ist nach der Definition einer Mutter: 
Eine Frau kann ein Kind haben, es jedoch nicht großziehen.
Genauso kann eine Frau kein biologisches Kind jedoch eines adoptiert haben oder aufziehen, wodurch diese die Attribute einer Mutter eher erfüllt, als die erstgenannte.
Eine Information über eine Entscheidung hilft nicht bei der Kontrolle einer KI, solange sie nicht durch Inputs gelenkt werden kann (die Quelldaten können auch von Facebook stammen ohne dass wir Einfluss auf deren Qualität haben oder die KI lenken / kontrollieren können)"	"Die Klassifikationsmerkmale sind temporal bedingt. Hätte es zB einen Dinosaurier gegeben, der ebenfalls dort gelebt und Eier gelegt hätte, wäre er auch ein Pinguin. Auch wenn das Verständnis der Entscheidung dadurch gegeben ist, ist sie doch nicht allgemeingültig genug um der KI so zu vertrauen "			6	18	3	3	383	2	285	17	32	1	59	2	249		2022-08-09 10:11:14	T	F	13	13	9	1	1.65	83
206			"base"	"interview"	2022-08-09 10:02:31	2	"Informatik "	F	40		1	T	7	7	4	7	7	4				7	7	4							7	7	4	7	7	4	7	7	4	7	7	4	7	7	4	7	1	5	1	5	1					22	24	15	39	55	8	39	54	28	1	24	2	282		2022-08-09 10:07:42	T	F	13	13	15	2	1.2	40
210			"base"	"interview"	2022-08-09 10:10:46	2	"Software Entwickler "	F	33		1	T	7	7	7	7	3	7				1	4	4				7	7	7				7	7	7	7	7	7	4	6	7	7	7	7	8	1	6	2	7	1					2	12	2	12	368	8	66	6	54	11	42	2	284		2022-08-09 10:20:31	T	F	13	13	15	2	1.47	58
213			"base"	"interview"	2022-08-09 10:16:59	2	"Musiker"	F	30		1	T	7	7	7				7	7	7	7	7	7				7	7	7				7	7	7	7	7	7	7	7	7	7	7	7	9	1	7	2	7	2					9	30	6	9	191	2	25	3	64	3	25	49	370		2022-08-09 10:23:55	T	F	13	13	15	2	1.51	64
223			"base"	"interview"	2022-08-09 10:41:24	1	"Graphic Design "	F	31		1	T	6	5	7	6	5	6							5	6	6				5	5	7	4	5	3	7	7	4	5	4	7	6	5	5	9	2	8	1	8	1	"Die Begründung ist stärker posetiv als die Ablehnung für mich. "				6	18	17	13	238	16	52	12	45	3	47	7	474		2022-08-09 10:49:18	T	F	13	13	12	2	1.06	13
224			"base"	"interview"	2022-08-09 10:46:07	2	"Akademischer Rat"	F	64	"Bei Rückfragen kannst Du mich gern kontaktieren: *removed for anonymization"	1	T	5	7	5				1	3	6				5	7	5	2	3	6				5	7	3	2	5	3	4	4	3	5	7	3	10	2	8	2	8	2	"Erklärung 1 erweckt den Anschein, alle Gründe für die Klassifikation zu nennen. Es könnten jedoch weitere Kriterien ausschlaggebend sein: Petra ist Mensch, Kind ist nicht adoptiert, etc. In Erklärung 2 wird nur eine mögliche Ursache für andere Klassifikation genannt, da erscheint Erklärung 1 vollständiger.."	"Begründung wie bei Frage 1.
Zusätzliche Anmerkung: Positive Antworten wie in Erklärung 1 sind leichter verständlich als solche mit mehreren Verneinungen."	"Für wen ist die Erklärung: für Clara oder die Ärztin/den Arzt??? Die zu beantwortenden Fragen kegen Clara nahe, die Fallbeschreibung habe ich anders verstanden.
Nutzen für Verstehen in Erklärung 1 setzt voraus, dass Cholesterin-Werte eingeschätzt werden können. Ist 54 mg/dl schlecht? Ist kleiner besser, egal welcher Wert? Auch 0 mg/dl? Erklärung 2 gibt eine qualitative Einschätzung.
Kontrollierbarkeit der KI ist größer bei Nennung von mehr Kriterien.
"	"Schulden bei Telefonanbieter können viele Ursachen haben, z.B. Unstimmigkeiten bei der Abrechnung. Außerdem sind 50 € Peanuts, führen aber wohl zu negativer Schufa-Auskunft. Erklärung 1 kann ich aus Sicht eines Kunden nicht nachvollziehen. Obwohl die Art der Erklärungen denen in den vorherigen Fällen gleichen, ist hier Erklärung 2 nützlicher, da die Klassifikation hier negativ für den Kunden ist, während die anderen Fälle eher eine positive Auswirkung der Klassifizierung nahelegen."	43	32	3	17	564	23	252	73	556	18	875	68	355		2022-08-09 11:28:11	T	F	13	13	0	0	0.5	15
227			"base"	"interview"	2022-08-09 11:13:28	2		T	23		1	T	7	7	7				7	7	4				7	7	7	7	6	7				7	7	7	7	7	7	1	1	7	7	4	7	10	2	8	2	8	2					8	10	5	11	37	10	45	9	42	2	26	3	208		2022-08-09 11:16:56	T	F	13	13	15	2	1.63	37
228			"base"	"interview"	2022-08-09 11:27:20	2	"Wissenschaftler "	F	30		1	T	7	6	5	7	7	7				7	4	6							7	7	7	7	7	7	4	7	2	3	1	1	7	2	5	10	1	9	1	9	1					12	18	20	9	73	11	49	2	47	2	43	7	293		2022-08-09 11:32:13	T	F	13	13	15	2	1.23	53
234			"base"	"interview"	2022-08-09 12:19:13	2	"IT-Unternehmen"	F	57	"Die Beispiele sind so gewählt, dass eine diferenzierte Abstufung der Einordnung kaum möglich ist.
Interessant wird es erst bei weniger offensichtlichen oder vagen Aussagen."	1	T	7	7	7				7	7	7	7	7	7				7	7	7				6	6	6	7	7	7	7	7	7	6	6	6	11	1	10	2	10	2	"Die doppelte Negation im zweiten Teil ist korrekt und nätzlich, aber etwas schwieriger zu verstehen."				4	27	25	12	124	16	35	22	28	7	37	102	340		2022-08-09 12:26:32	T	F	13	13	9	1	0.99	11
241			"base"	"interview"	2022-08-09 13:50:43	2	"Service Techniker "	F	42		1	T	6	6	6	6	6	6							6	6	6				5	5	5	7	7	7	7	7	7	5	5	5	7	7	7	12	2	10	1	10	1		"Einzig mir bekannte Lebensart dort die Eier legt"	"Mir fehlen hier die Hinweise das Gamma genau für die gegebenen Werte gedacht ist"		22	51	3	13	121	7	79	2	109	2	32	30	410		2022-08-09 13:58:34	T	F	13	13	9	2	1.26	72
242			"base"	"interview"	2022-08-09 13:51:29	2	"Student"	F	33		1	T	7	5	3	7	6	5							7	6	3				5	5	3	7	5	3	6	7	7	5	6	3	7	5	3	12	2	10	1	10	1			"Die Informationen helfen Clara zu verstehen, auf welche Faktoren die KI achtet. Sie hilft ihr aber nur bedingt, da sie die Faktoren vermutlich nicht weiter einordnen kann."		16	13	32	10	74	17	43	33	139	7	47	6	437		2022-08-09 13:58:46	T	F	13	13	12	2	0.78	2
251			"base"	"interview"	2022-08-09 14:46:35	1	"Angestellte und Studentin "	F	33		1	T	6	5	6				6	6	3	6	6	6				4	6	5				4	5	5	5	5	6	5	5	6	5	5	6	12	1	11	2	11	2					4	13	1	1	37	10	20	19	12	3	8	2	130		2022-08-09 14:48:45	T	F	13	13	15	2	2.17	134
252			"base"	"interview"	2022-08-09 14:50:24	1	"Studentin"	F	24		1	T	7	7	7				7	6	7	7	7	7				7	7	7				7	7	7	7	7	7	7	6	7	7	7	7	13	1	12	2	12	2					5	13	9	12	31	6	15	14	21	7	28	4	165		2022-08-09 14:53:09	T	F	13	13	15	2	1.63	33
254			"base"	"interview"	2022-08-09 14:57:04	1		T	25		1	T	5	6	6	6	6	5							5	5	6				6	6	6	3	4	4	5	7	5	4	5	5	3	4	4	14	2	12	1	12	1					4	7	36	13	68	14	29	20	42	9	31	3	276		2022-08-09 15:01:40	T	F	13	13	15	2	1.22	16
263			"base"	"interview"	2022-08-09 15:51:24	1	"Praktikant / Masterand"	F	25		1	T	7	6	7				6	6	6	7	7	7							7	7	7	6	6	6	6	6	6	7	7	7	6	6	6	14	1	13	1	13	2					6	26	11	11	33	1	22	2	16	2	17	1	148		2022-08-09 15:53:52	T	F	13	13	15	2	2.14	128
265			"base"	"interview"	2022-08-09 16:23:18	1	"Student und Werkstudent eCommerce"	F	26		1	T	7	7	7	7	7	7				6	6	7				7	7	7				7	7	7	7	7	7	6	6	7	6	6	7	15	1	13	2	13	1					8	20	25	11	24	12	30	26	26	9	31	3	225		2022-08-09 16:27:03	T	F	13	13	15	2	1.21	15
266			"base"	"interview"	2022-08-09 16:24:11	1	"Wissenschaftlicher Mitarbeiter"	F	26		1	T	7	5	7				7	7	7	7	6	7				7	4	7				6	5	7	7	7	4	5	5	6	5	4	6	15	1	14	2	14	2					19	16	26	13	67	15	32	35	41	17	35	2	318		2022-08-09 16:29:29	T	F	13	13	15	2	0.9	5
271			"base"	"interview"	2022-08-09 18:53:38	2	"Student"	F	29	"Ich habe die letzte Frage üder die Kontrollierbarkeit nicht verstanden."	1	T	7	7	5	6	7	4							6	6	4				7	7	4	7	1	4	7	7	4	1	1	4	7	7	4	15	2	14	1	14	1	"Ich verstehe nicht was Kontrollierbarkeit der KI bedeutet"				18	12	116	21	169	24	39	42	50	17	81	29	490		2022-08-09 19:03:56	T	F	13	13	9	1	0.58	2
275			"base"	"interview"	2022-08-09 19:10:04	2	"Lead data scientist "	F	34		1	T	7	7	4	7	7	4							7	7	4	7	7	4				7	7	4	7	7	4	7	7	4	7	7	4	16	2	15	2	15	1					3	15	14	10	31	10	29	25	16	3	16	2	174		2022-08-09 19:12:58	T	F	13	13	15	2	1.78	41
280			"base"	"interview"	2022-08-09 20:48:59	2	"Projektleiter im Bereich Bauprodukte und Emissionskammerprüfung "	F	31		1	T	6	7	7				5	6	4	7	7	5							3	4	4	5	6	6	5	4	4	4	4	4	4	4	4	17	1	15	1	15	2					18	40	34	26	112	21	44	56	74	12	74	11	522		2022-08-09 20:57:41	T	F	13	13	15	2	0.53	0
281			"base"	"interview"	2022-08-09 21:02:36	2	"Beamter"	F	63	"Zu Teil 1: Ich interessiere mich für Ahnenforschung"	1	T	7	7	7				7	7	7				7	7	6	5	5	5				7	6	6	7	7	6	4	6	6	7	6	6	18	2	16	2	16	2					534	20	6	13	82	15	46	16	52	11	39	55	313		2022-08-09 21:17:25	T	F	13	13	12	2	0.87	7
283			"base"	"interview"	2022-08-09 21:03:42	1	"Nicht berufstätig "	F	64	"Die ersten beiden Fragenkomplexe fand ich logisch, die nachfolgenden nicht."	1	T	7	7	7	1	1	1							7	7	7				1	1	1	7	7	7	1	1	1	1	1	1	7	7	7	17	2	16	1	16	1			"Ich sehe keine Möglichkeit, das zu beurteilen "	"Wenigstens das kredeitvolumen brauche ich zur Beurteilung "	97	20	46	12	70	14	57	22	92	12	78	50	436		2022-08-09 21:13:12	T	F	13	13	6	1	0.61	0
291			"base"	"interview"	2022-08-09 21:36:00	2	"Informatiker"	F	34		1	T	7	7	7				7	7	7	6	5	6							6	5	7	6	6	7	7	7	7	4	3	2	5	6	6	18	1	17	1	17	2					2164	13	15	9	47	11	37	19	74	6	33	2	276		2022-08-09 22:16:30	T	F	13	13	15	2	1.06	9
292			"base"	"interview"	2022-08-09 22:19:03	2	"Team Lead und IT Consultant"	F	39		1	T	7	7	4	7	7	5							7	7	4	7	7	4				7	7	4	7	7	4	7	7	4	7	7	4	19	2	17	2	17	1					43	26	3	13	58	30	38	3	34	12	34	17	297		2022-08-09 22:24:14	T	F	13	13	15	2	1.14	44
299			"base"	"interview"	2022-08-10 06:40:17	1		T	25		1	T	7	5	7				7	6	6	1	5	1							7	7	7	7	5	7	7	7	6	5	4	6	5	5	6	19	1	18	1	18	2					3	7	43	10	36	12	28	29	37	10	23	4	242		2022-08-10 06:44:19	T	F	13	13	15	2	1.36	25
303			"base"	"interview"	2022-08-10 08:11:20	1		T	22		1	T	6	5	5	6	6	6				6	6	6				6	5	3				5	5	5	6	6	6	5	5	5	6	5	4	20	1	18	2	18	1					3	13	1	1	9	2	8	1	8	1	7	2	56		2022-08-10 08:12:16	T	F	13	13	15	2	2.73	268
310			"base"	"interview"	2022-08-10 10:22:56	2	"Software-Entwickler"	F	54		1	T	7	7	7				7	7	4				6	6	6				1	1	3	6	6	6	7	7	3	6	6	6	7	7	7	20	2	19	1	19	2	"Weiblich mit Kind ist die Definition für ""Mutter"".
Spezielfälle werden nicht berücksichtigt (Tod, Adoption, etc.)"				4	14	13	11	179	14	65	21	123	9	65	3	521		2022-08-10 10:31:37	T	F	13	13	12	2	0.95	7
322			"base"	"interview"	2022-08-10 14:12:19	2	"Jurist, Mediator"	F	57	"interessantes Thema, schöne Grüsse, Andreas"	1	T	6	6	6	3	3	3				6	6	6				6	6	6				2	2	2	5	5	5	6	6	6	2	2	2	21	1	19	2	19	1	"Es fällt mir leichter, ""positiv"" formulierte Aussagen i.S. von ""ist"" gegenüber ""ist nicht"" nachzuvollziehen"	"wie die Frage zuvor. Hätte die KI das Tier als Pinguin klassifiziert, wenn es Eier gelegt hätte?"	"Mangels Kenntnis der Medikamente und der Wirkzusammenhänge wäre für mich jede Erklärung, die so kurz und knapp ist, sinnlos. Für mich als Als Nicht-Mediziner sind beide Aussagen etwa so aussagekräftig wie, ""vertrauen sie mir, ist gut für sie""."	"Unabhängig davon, ob eine KI basierte Einschätzung der Kreditwürdigkeit Sinn macht (es sind je lediglich statistische Einordnungen aufgrund einer Momentaufnahme) gibt mir die zweite Variante zumindest noch die Möglichkeit mein Rating durch Bezahlung einer Rechnung aktiv zu verbessern."	6	19	2	2	73	11	68	3	160	8	145	31	397		2022-08-10 14:21:07	T	F	13	13	0	0	1.32	70
326			"base"	"interview"	2022-08-10 16:53:12	1	"Recruiting "	F	25		1	T	6	4	4	6	6	6							7	7	7				6	6	6	2	3	3	6	6	6	5	5	5	7	7	7	21	2	20	1	20	1					3	12	2	9	32	9	19	15	22	6	33	8	170		2022-08-10 16:56:02	T	F	13	13	15	2	1.71	56
327			"base"	"interview"	2022-08-10 17:48:13	1		T	24		1	T	7	7	7				6	4	5				7	7	7	6	7	6				7	7	7	6	7	6	6	3	4	2	2	2	22	2	20	2	20	2		"Zu Frage 2:  Sorgt für Verwirrung. Was ist, wenn es sich um einen männlichen Pinguin handelt? Der legt keine Eier, ist aber ein Pinguin"			4	10	99	7	40	12	142	20	47	8	60	2	263		2022-08-10 17:55:44	T	F	13	13	12	2	1.16	16
329			"base"	"interview"	2022-08-10 18:39:11	1	"Studentin "	F	25		1	T	7	7	6				5	5	4	4	4	3							7	7	7	6	7	7	5	5	4	7	7	7	3	5	3	22	1	21	1	21	2					2	12	2	7	30	19	27	22	20	10	19	6	176		2022-08-10 18:42:07	T	F	13	13	15	2	1.66	63
333			"base"	"interview"	2022-08-10 19:04:55	2	"Software Enwickler"	F	31		1	T	7	7	7	3	3	4							7	7	7	4	4	5				7	7	7	6	7	5	7	6	7	7	7	7	23	2	21	2	21	1					6	47	3	20	178	64	33	45	82	8	109	3	516		2022-08-10 19:14:53	T	F	13	13	15	2	0.89	19
334			"base"	"interview"	2022-08-10 19:28:38	2	"Lehrer Biologie/Chemie/Informatik S1/2"	F	35		1	T	7	7	7	7	7	7				7	7	7							7	7	7	7	7	7	4	4	4	7	7	7	7	7	7	23	1	22	1	22	1					46	39	31	24	89	26	53	23	58	9	25	2	425		2022-08-10 19:35:43	T	F	13	13	15	2	0.77	5
336			"base"	"interview"	2022-08-10 23:35:32	-9	"Arbeiten "	F	46		1	T	4	7	4				7	7	4				7	7	4	7	4	4				4	7	4	7	7	4	7	7	4	7	4	4	24	2	22	2	22	2					13	23	11	17	142	39	69	54	104	24	75	7	551		2022-08-10 23:45:10	T	F	13	13	18	6	0.57	1
340			"base"	"interview"	2022-08-11 08:28:44	1	"Nebenberufliche Studentin"	F	24		1	T	7	4	4				6	7	7	7	4	4				7	5	4				5	4	4	5	6	5	6	7	4	4	5	6	24	1	23	2	23	2					3	20	2	1	23	5	32	2	25	1	21	3	138		2022-08-11 08:31:02	T	F	13	13	15	2	2.27	163
347			"base"	"interview"	2022-08-11 11:48:17	1		T	27		1	T	7	7	7	7	7	7							7	7	7				7	7	7	7	7	7	7	7	7	5	5	5	7	7	7	25	2	23	1	23	1					6	27	14	8	31	11	14	23	30	9	145	12	227		2022-08-11 11:53:47	T	F	13	13	15	2	1.21	19
351			"base"	"interview"	2022-08-11 12:49:11	2		T	36		1	T	7	7	7	5	4	5				7	4	7							3	4	3	7	7	7	5	7	4	3	3	3	6	5	6	25	1	24	1	24	1					3	16	13	8	32	15	50	20	43	6	38	2	246		2022-08-11 12:53:18	T	F	13	13	15	2	1.34	20
360			"base"	"interview"	2022-08-11 15:06:01	1	"Studentin "	F	26		1	T	3	3	3				4	6	4				1	5	4	7	7	7				7	7	6	7	7	7	7	7	7	2	5	4	26	2	24	2	24	2					5	10	4	2	41	18	26	25	22	7	17	2	179		2022-08-11 15:09:00	T	F	13	13	15	2	1.8	52
362			"base"	"interview"	2022-08-11 15:06:44	3	"Wissenschaftler*in"	F	32		1	T	7	7	2				7	5	5	7	7	2							6	4	3	7	7	3	6	6	6	5	6	5	5	5	3	26	1	26	1	26	2	"Kontrollierbarkeit ist hier schwer zu erreichen, weil 'Mutter' eine Kategorie ist, die sich schwer ändern lässt."		"Die zweite Erklärung gibt einen konkreten Anhaltspunkt für Änderungsmöglichkeiten. Die erste Erklärung ist möglicherweise überwältigend. Es ist schwer zu sagen, welche der Teilerklärungen für die Entscheidung besonders wichtig ist."	"Beide Erklärungen sind kurz genug, um leicht verständlich zu sein. Erklärung B macht noch etwas deutlicher, wie die Entscheidung beeinflusst werden könnte."	21	16	15	6	125	4	796	21	111	7	96	2	463		2022-08-11 15:27:04	T	F	13	13	6	1	1.02	14
365			"base"	"interview"	2022-08-11 15:09:15	1	"Sachbearbeiterin"	F	33		1	T	6	6	6				6	6	6	7	7	7							7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	26	1	25	1	25	2					4	14	1	3	17	4	38	17	50	6	35	3	192		2022-08-11 15:12:27	T	F	13	13	15	2	1.87	82
366			"base"	"interview"	2022-08-11 15:14:27	1		T	28		1	T	7	7	7	7	7	7							7	7	7	1	5	6				7	7	7	7	7	7	6	7	6	7	7	7	27	2	25	2	25	1					4	11	9	6	36	3	29	1	72	1	58	5	235		2022-08-11 15:18:22	T	F	13	13	15	2	1.79	102
367			"base"	"interview"	2022-08-11 15:18:19	1	"Student"	F	20		1	T	7	7	7	1	3	7				5	7	5				5	3	7				7	7	7	4	7	7	7	7	5	1	3	1	27	1	26	2	26	1					18	7	21	12	34	11	39	18	37	10	35	2	244		2022-08-11 15:22:23	T	F	13	13	15	2	1.21	15
