"CASE"	"SERIAL"	"REF"	"QUESTNNR"	"MODE"	"STARTED"	"SD01"	"SD15_01"	"SD15_01a"	"SD19_01"	"SD20_01"	"ST01"	"ST01_01"	"CO17_01"	"CO17_02"	"CO17_03"	"CO25_01"	"CO25_02"	"CO25_03"	"CO30_01"	"CO30_02"	"CO30_03"	"CO19_01"	"CO19_02"	"CO19_03"	"CO31_01"	"CO31_02"	"CO31_03"	"CO21_01"	"CO21_02"	"CO21_03"	"CO27_01"	"CO27_02"	"CO27_03"	"CO18_01"	"CO18_02"	"CO18_03"	"CO29_01"	"CO29_02"	"CO29_03"	"CO22_01"	"CO22_02"	"CO22_03"	"CO20_01"	"CO20_02"	"CO20_03"	"Z101_CP"	"Z101"	"Z102_CP"	"Z102"	"Z103_CP"	"Z103"	"OP01_01"	"OP02_01"	"OP03_01"	"OP04_01"	"TIME002"	"TIME003"	"TIME004"	"TIME005"	"TIME006"	"TIME007"	"TIME008"	"TIME009"	"TIME010"	"TIME011"	"TIME012"	"TIME013"	"TIME_SUM"	"MAILSENT"	"LASTDATA"	"FINISHED"	"Q_VIEWER"	"LASTPAGE"	"MAXPAGE"	"MISSING"	"MISSREL"	"TIME_RSI"	"DEG_TIME"
370			"base"	"interview"	2022-08-11 15:48:41	2	"Lehrer"	F	40	"Alle gelieferten Erklärungen waren in meinen Augen erhellend im Hinblick auf die Funktionsweise der KI."	1	T	7	7	7				7	7	7				7	7	7	5	7	7				7	7	7	7	7	7	7	7	7	7	7	7	28	2	27	2	27	2					17	11	16	8	68	2	23	12	50	8	26	57	244		2022-08-11 15:53:39	T	F	13	13	12	2	1.27	33
371			"base"	"interview"	2022-08-11 15:53:57	1	"Student "	F	21		1	T	7	6	7	5	6	6				5	4	5							7	6	7	7	7	7	7	7	7	7	7	7	7	7	7	29	1	27	1	27	1					11	13	5	6	28	12	36	19	35	9	35	2	211		2022-08-11 15:57:28	T	F	13	13	15	2	1.43	22
373			"base"	"interview"	2022-08-11 15:57:05	1	"Wissenschaft "	F	31		1	T	6	5	5				4	4	4	6	5	5							4	4	5	7	6	6	4	4	4	4	5	5	5	4	4	30	1	28	1	28	2					823	10	4	2	35	1	20	2	9	1	6	2	102		2022-08-11 16:12:20	T	F	13	13	15	2	2.34	193
375			"base"	"interview"	2022-08-11 16:03:32	1		T	38		1	T	7	6	7	7	7	7							7	6	7	7	7	7				7	6	7	7	7	7	7	7	7	7	6	7	29	2	28	2	28	1					25	13	45	11	101	13	37	34	20	31	32	3	342		2022-08-11 16:09:37	T	F	13	13	15	2	0.92	8
377			"base"	"interview"	2022-08-11 16:10:31	1	"Angestellte Psychologin"	F	40		1	T	7	7	5				4	4	4				6	6	5	1	1	1				7	7	5	3	3	3	1	1	1	7	6	6	30	2	29	2	29	2					5	19	28	12	41	16	31	17	27	3	37	4	240		2022-08-11 16:14:31	T	F	13	13	15	2	1.28	19
382			"base"	"interview"	2022-08-11 17:41:45	1	"Studium"	F	27		1	T	6	6	6	5	6	6							4	4	4				4	5	5	6	6	6	5	6	5	5	6	5	4	4	4	31	2	29	1	29	1					9	12	11	2	132	5	484	4	38	2	35	3	292		2022-08-11 17:54:02	T	F	13	13	15	2	1.6	58
385			"base"	"interview"	2022-08-11 19:29:05	3	"Wissenschaftliche Mitarbeiterin"	F	29		1	T	6	4	4	6	6	4				6	5	4				6	7	6				4	4	4	6	7	4	6	7	5	5	4	4	31	1	30	2	30	1					8	50	6	16	53	6	32	21	25	73	25	2	219		2022-08-11 19:34:22	T	F	13	13	15	2	1.27	21
386			"base"	"interview"	2022-08-11 20:11:12	1	"Elementarpädagogin"	F	33		1	T	7	7	5				7	7	6	7	6	5							7	7	6	6	5	5	7	7	6	7	7	6	6	6	5	32	1	30	1	30	2					19	23	22	10	97	7	79	10	51	2	45	4	369		2022-08-11 20:17:21	T	F	13	13	15	2	1.12	20
392			"base"	"interview"	2022-08-12 10:16:44	2	"WiMi"	F	42		1	T	7	7	7				5	5	5				6	6	6	7	7	7				7	7	7	5	5	5	7	7	7	5	5	5	32	2	31	2	31	2					76	25	63	24	112	40	46	60	32	47	68	7	467		2022-08-12 10:26:44	T	F	13	13	15	2	0.52	2
395			"base"	"interview"	2022-08-12 10:33:19	2	"Wissenschaftlicher Mitarbeiter"	F	31		1	T	7	5	7	5	2	6				7	7	6							5	4	6	7	5	6	6	7	6	6	3	6	7	7	7	33	1	31	1	31	1	"Ich habe mit dem Begriff Kontrollierbarkeit hier meine Probleme. Ich weiß nichts über die interne Funktionsweise der KI, folglich kann ich auch nicht entscheiden, ob mir die Information hilft, die KI zu kontrollieren. Auch ist mir nicht ganz klar, was ich kontrollieren möchte? Ob sie sich erwartungsgemäß verhält, nachvollziehbar, oder ""korrekt""?"				6	20	11	12	252	10	78	21	63	5	75	4	557		2022-08-12 10:42:36	T	F	13	13	12	2	0.94	7
406			"base"	"interview"	2022-08-12 13:54:27	2		T	28	"The Industrial Revolution and its consequences have been a disaster for the human race."	1	T	7	4	7				5	5	5				6	3	6				3	7	5	7	7	7	7	7	7	6	3	6	6	3	6	33	2	32	1	32	2	"Wenn
      Einschränkende Bedingung HatKind = true
Dann
      MutterstandPetra = 1

Oder sowat, bin kein studierten"	"Ich habe es nicht verstanden.
Es gibt mglw Grenzfälle von anderen eierlegenden Südpoltieren, was macht die KI denn dann?"	"Die KI erklärt nicht, was passiert wenn  ein Patient trotz Gegenindikation ein Medikament bekommt. Das ist in der Argumentation nicht vorhergesehen, es kann also nicht zwischen zwei Medikamenten abgewogen werden, wenn beide unterschiedlich ungünstig wären. Unpraktikabel oder so, keine Ahnung, bin kein Arzt und so"	"Klarer muss nicht nur wissen was der Ablehnungsgrund ist, sondern auch was sie dagegen tun kann und wie verschiedene Parameter, die für die Beurteilung verwendet werden, untereinander gewichtet werden"	3	9	29	7	207	7	108	24	189	69	107	125	559		2022-08-12 14:09:11	T	F	13	13	0	0	0.9	18
410			"base"	"interview"	2022-08-12 14:10:36	1	"Psychologin"	F	36	"Interessantes Thema"	1	T	6	7	7	7	7	7				5	4	4				7	7	7				6	5	5	7	7	7	7	7	7	4	2	2	34	1	32	2	32	1	"Es spricht zwar viel dafür, dass Petra weiblich ist, aber in der heutigen Zeit sollte man auch nicht binäre Personen berücksichtigen. Deshalb habe ich nicht ""stimme voll und ganz zu"" angeklickt.
Ähnliches gilt auch für die zweite Aussage: Theoretisch könnte Petra ja auch ""Mutter"" in einem SOS-Kinderdorf sein oder sich als Vater identifizieren."	"Die Aussagen sollten noch spezifischer die jeweilige Tierart beschreiben."	"Ich denke, dass die Informationen diesmal sehr hilfreich sind um die Künstliche Intelligenz zu verbessern."		29	80	27	17	461	21	124	39	152	15	61	25	487		2022-08-12 14:28:07	T	F	13	13	3	0	0.41	0
414			"base"	"interview"	2022-08-12 14:54:54	2	"Postdoc"	F	35		1	T	7	1	1	6	3	3							6	2	1				5	2	2	4	4	1	2	7	4	6	3	3	5	2	1	34	2	33	1	33	1					6	16	8	10	50	5	61	6	51	2	66	2	283		2022-08-12 14:59:37	T	F	13	13	15	2	1.58	38
415			"base"	"interview"	2022-08-12 15:11:49	2	"Rentner"	F	70	"Die Fragestellungen fand ich persönlich einleuchtend und nachvollziehbar, interessanterweise - vom Schwierigkeitsgrad her - auch nach und nach herausfordernder.                                                                                                                                                                        Technisch müsste ich Folgendes anmerken:   Bei dieser Teilnahme meinerseits handelt es sich sozusagen um einen zweiten Durchlauf! Bei meinem ersten Versuch, an dieser Online-Studie teilzunehmen, kam ich genau bis zur Hälfte -, dann ""streikte"" das Programm, d.h. es funktionierte gar nichts mehr, sodass ich mich komplett abmelden und ganz neu wieder starten musste."	1	T	7	7	7				3	2	2				7	7	7	4	3	4				7	7	7	5	5	4	7	7	4	7	7	7	35	2	33	2	33	2	"Fragestellung eindeutig, gut nachvollziehbar."	"Auch in diesem Fall leicht verständlich, nachvollziehbar, allerdings musste ich mich erst einmal vergewissern, dass mit Südpol die Antarktis gemeint ist."	"Als Nicht-Mediziner fiel es mir etwas schwer, mich in die Medikation hineinzudenken. Grundlage meiner Antworten war in jedem Fall das flankierende Gespräch mit dem Arzt."	"Ausgehend von der Vermutung, dass Clara beruflich tätig ist, d.h. im Berufsleben steht, konnte ich der ersten - negativen - Entscheidung nicht so recht folgen. Auf die Schulden in Höhe von  50,--Euro können m.E. kein Hinderungsgrund sein."	8	23	6	14	150	6	136	54	257	24	238	365	416		2022-08-12 15:33:11	T	F	13	13	0	0	0.74	11
417			"base"	"interview"	2022-08-12 16:24:01	1	"Verwaltung "	F	38		1	T	1	1	1	6	5	5				5	6	6							3	5	5	1	1	1	6	6	6	5	5	5	4	3	5	35	1	34	1	34	1					6	43	48	32	69	21	64	34	70	12	43	3	423		2022-08-12 16:31:26	T	F	13	13	15	2	0.73	3
419			"base"	"interview"	2022-08-12 16:58:38	1	"Lehrerin"	F	45		1	T	7	7	7				7	7	7				7	7	7	5	4	5				7	7	7	7	7	7	5	5	5	7	7	7	36	2	34	2	34	2			"Das ist schwer für mich zu beantworten, weil ich nicht Clara bin und ihr Wissen nicht kenne. Reicht die Information über Cholesterinwert und Wechselwirkung mit Delta aus, um Gamma im Gegensatz zu Alpha und Beta zu bevorzugen? Ich weiß es nicht und habe keine Ahnung, ob Clara das weiß."		11	12	30	14	43	15	39	22	234	8	68	4	313		2022-08-12 17:06:58	T	F	13	13	12	2	0.87	4
420			"base"	"interview"	2022-08-12 17:18:30	1	"IT-Systemkauffrau"	F	30		1	T	6	6	7	6	3	3				6	5	5				7	7	6				7	7	7	6	7	5	6	6	6	4	4	5	36	1	35	2	35	1					12	13	16	23	26	13	28	19	19	5	31	2	207		2022-08-12 17:21:57	T	F	13	13	15	2	1.36	22
428			"base"	"interview"	2022-08-12 23:39:22	2	"IT Administrator"	F	35	"Entscheidungen von KIs nachzuvollziehen hilft meiner Meinung nach sehr bei der Akzeptanz bei den Anwendern. Besonders bei komplexen Ausgangsdaten, wo viele Aspekte in die Entscheidung einfließen, ist eine ausführliche Begründung gut. "	1	T	7	6	6				7	7	7	7	6	6							7	7	7	7	5	5	7	7	7	7	6	7	7	6	6	37	1	35	1	35	2					10	16	30	28	75	12	37	64	38	9	34	105	338		2022-08-12 23:47:00	T	F	13	13	12	2	0.79	2
433			"base"	"interview"	2022-08-13 00:16:28	1	"Handwerk"	F	25		1	T	3	5	3	5	4	4							6	6	5				7	6	6	7	6	4	4	4	5	7	7	7	6	7	6	37	2	36	1	36	1					3	16	73	28	196	44	88	85	243	27	197	5	540		2022-08-13 00:33:13	T	F	13	13	15	2	0.6	10
446			"base"	"interview"	2022-08-13 16:01:25	1	"Elektroingenieurin an Uni"	F	32		1	T	5	4	2				7	7	3	6	5	2							7	5	4	6	5	2	5	7	3	7	7	3	6	5	2	40	1	39	1	39	2	"Ich finde es interessant das Programm die klare  wenn -dann Entscheidungen treffen als KI bezeichnet werden und noch schwerer mir vorzustellen wie man dies auf andere Arten von Kind übertragen könnte. Daher fehlt mir wohl die Vorstellungeskraft dafür, wie solche Informationen zur kontrollierbarkeit beitragen könnten."		"Nach jetzt schon mehreren dieser Frag bin ich mir nicht sicher was sie mit Kontrollierbarkeit meinen. Kontrollierbar durch den Programmentwickler der die Ki verbessern soll oder durch den Anwender wie hier die Ärtztin, die die Einzelfallentscheidung überprüfen muss?"		12	77	17483	18	471	24	97	28	284	19	145	5	390		2022-08-13 21:12:28	T	F	13	13	9	1	0.41	0
447			"base"	"interview"	2022-08-13 16:01:37	2		T	21		1	T	7	1	1				7	7	7	1	1	1				7	7	7				1	1	1	7	7	7	7	7	7	7	7	7	38	1	36	2	36	2					3	7	5	9	46	1	38	2	29	1	27	1	169		2022-08-13 16:04:26	T	F	13	13	15	2	2.25	149
452			"base"	"interview"	2022-08-13 16:54:03	1	"Angestellte"	F	37		1	T	7	7	6				7	7	6				7	6	6	4	3	3				7	7	6	7	7	7	3	2	3	6	6	6	38	2	37	2	37	2					171	11	40	7	107	12	58	17	65	16	500	4	389		2022-08-13 17:10:52	T	F	13	13	15	2	0.75	5
453			"base"	"interview"	2022-08-13 16:59:34	1		T	26		1	T	7	7	6	7	7	6							6	6	5	7	7	5				7	7	5	7	7	7	7	7	7	4	4	3	38	2	37	2	37	1					3	9	2	1	25	1	20	2	42	2	22	1	130		2022-08-13 17:01:44	T	F	13	13	15	2	2.54	193
460			"base"	"interview"	2022-08-13 18:42:30	2	"IT Berater"	F	48		1	T	7	7	7				7	7	7	5	5	7							7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	39	1	37	1	38	2					600	17	2	12	49	8	35	16	30	4	30	2	215		2022-08-13 18:55:55	T	F	13	13	15	2	1.38	41
461			"base"	"interview"	2022-08-13 19:49:16	2	"Vertriebsassistent"	F	30		1	T	5	4	6	7	7	7							6	6	5				6	6	6	5	5	3	7	6	6	5	6	4	6	5	5	40	2	38	1	38	1					2	18	7	3	33	14	23	2	31	2	19	2	156		2022-08-13 19:51:52	T	F	13	13	15	2	2.06	99
466			"base"	"interview"	2022-08-14 00:31:50	2	"Wissenschaftlicher Beschäftigter"	F	26		1	T	7	7	7	7	4	6							7	7	7	5	5	7				6	7	6	4	7	2	6	6	4	5	6	5	41	2	39	2	39	1			"Die Fragestellung ist merkwürdig, da in der beschrieben Situation zunächst wichtig ist, ob die Information für die Ärztin/den Arzt hilfreich ist, die/der dann die Information für Clara übersetzen sollte."		39	37	56	24	142	17	67	37	304	16	118	9	609		2022-08-14 00:46:16	T	F	13	13	12	2	0.42	0
479			"base"	"interview"	2022-08-14 11:20:54	2	"Student "	F	41		1	T	7	7	7				7	7	7	4	4	4							7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	41	1	40	1	40	2					12	18	2	12	80	11	51	30	47	5	53	6	327		2022-08-14 11:26:21	T	F	13	13	15	2	1.07	28
481			"base"	"interview"	2022-08-14 11:41:59	2	"Freiberuflich"	F	63	"Keines von den Beispielen braucht KI für die Herleitung."	1	T	5	5	6	6	6	6							5	5	6	6	6	6				5	5	6	7	7	6	5	5	6	5	5	6	42	2	41	2	41	1	"Reine Mengenzugehörigkeit ist eine triviale Antwort eines Computerprogrammes. Allgemeine Schlüsse daraus zu ziehen ist gerade bei heutiger KI schwierig. Meine erste Testfrage an das allgemeine KI-Programm: ""Sagst Du immer die Wahrheit? Nennst Du alle Widersprüche in deinen Anworten?"""	"Exakt gleiches Bespiel wie die ersten Fragen, s.o."	"Ich glaube das Clara ein besseres Vertrauen, in die Medikation hat, wenn die Entscheidungsfindung für Sie nachvollziehbar ist. Für die Überprüfbarkeit des KI-Expertensystems braucht man einen Experten, den Arzt."	"Meine Antworten beziehen sich auf die Versuchsnaordnung. Im echten Leben schreibt die KI die einmalige Ablehnung als kurzfristig unlöschbares Merkmal zurück in die Datenbasis. Auch wenn Clara die 50€ Telefonschulden bezahlt, erhält sie keinen Kredit und dann versteht Clara das Programm nicht mehr."	14	24	8	4	526	11	128	22	438	11	395	501	292		2022-08-14 12:16:41	T	F	13	13	0	0	0.76	10
482			"base"	"interview"	2022-08-14 11:42:39	2	"Systemadministrator "	F	34		1	T	7	7	7	7	7	7				7	7	7				5	7	7				7	7	7	7	7	7	7	7	7	7	7	7	42	1	40	2	40	1					7	34	3	3	33	4	67	10	29	8	23	2	223		2022-08-14 11:46:22	T	F	13	13	15	2	1.8	52
484			"base"	"interview"	2022-08-14 11:51:57	1	"Lehrer"	F	61	"bitte den Rückwärtspfeil zulassen"	1	T	7	7	7				7	7	7				6	7	6	7	7	7				7	7	7	6	6	6	7	7	7	4	4	4	42	2	41	2	41	2					10	12	3	22	73	22	36	41	59	2	55	23	338		2022-08-14 11:57:56	T	F	13	13	12	2	1.13	30
485			"base"	"interview"	2022-08-14 11:58:04	1	"Datenwissenschaftlerin, Trainerin, Postdoc"	F	34		1	T	6	2	5	7	7	3				7	7	6							7	7	6	2	1	1	5	3	7	6	7	5	6	3	3	43	1	41	1	41	1					166	59	46	15	87	21	72	40	60	13	66	2	449		2022-08-14 12:08:51	T	F	13	13	15	2	0.6	2
488			"base"	"interview"	2022-08-14 12:45:17	2		T	32	"Ich denke wichtig ist, das Informationen für den entsprechenden User gut verständlich sind. Doppelte verneinungen sind in dem Zusammenhang fies. Gleichzeitig dürfte eine Schwierigkeit darin liegen rauszubekommen wie viel Information notwendig ist damit die Entscheidung nicht nur verstanden sondern der KI auch vertraut wird.

"	1	T	6	6	6				6	6	5				5	5	6				7	6	7	5	3	6	3	4	5	3	4	2	5	3	5	44	2	42	1	42	2	"Um die notwendige Information zu bekommen muss der 2. Satz nach dem lesen erst umgedreht werden. Das stört das verstehen massiv. Dadurch verliert die Information einen großen Teil des nutzen."	"Die Verneinung macht es schwer den zweiten Satz zu verstehen. Dadurch verliert die Information an Wert.
Da viele vermutlich nicht wissen ob es weitere Tiere am Südpol gibt die Eier legen, wäre diese Information dazu auch noch gut. "	"Durch das mitteilen welche Informationen die Entscheidung beeinflusst haben, wird der Vorschlag logisch nachvollziehbarer und erhöht das Vertrauen in die KI deutlich. 
Die einzelne Information, dass bei einem besseren Cholesterinwert etwas anderes gewählt worden wäre lässt eher Fragen offen, das Vertrauen in die KI dürfte sinken. Es ist aus Sicht eines Laien unwahrscheinlich, dass bei einer Fülle an Informationen nur ein Punkt interessant ist für die Auswahl. Clara könnte das Gefühl haben das die KI unsauber arbeitet und ""macht was sie will""."	"Der erste Satz ist klar und damit nachvollziehbar. Die Gründe für das Verweigern des Kredits sind jedoch noch dürftig, sodass der Eindruck entstehen könnte, die KI nutzt nicht alle Daten.
der 2. Satz ist durch das Wort ""würde"" unklarer. Das macht die Entscheidung schlechter nachvollziehbar und die Information ist insgesamt sehr dürftig."	57	46	50	25	385	22	159	80	344	29	267	261	380		2022-08-14 13:14:02	T	F	13	13	0	0	0.25	0
489			"base"	"interview"	2022-08-14 12:47:56	1	"Ingenieurin"	F	39		1	T	7	7	4				7	7	4				7	4	4				7	7	4	7	4	4	7	7	4	7	7	4	7	7	4	44	2	42	1	42	2					3	359	323	78	175	11	65	26	67	7	164	26	440		2022-08-14 13:09:40	T	F	13	13	15	2	0.69	11
490			"base"	"interview"	2022-08-14 13:52:00	1	"Sprachlehrerin"	F	45		1	T	7	7	7	7	7	7				7	7	7				7	7	7				7	7	7	7	7	7	7	7	7	4	7	7	44	1	43	2	43	1					5	16	8	2	43	7	20	2	18	2	15	2	140		2022-08-14 13:54:20	T	F	13	13	15	2	2.16	102
492			"base"	"interview"	2022-08-14 18:25:42	2	"Rechtsanwalt"	F	42		1	T	7	7	7				5	5	7	7	7	7				6	5	7				7	7	7	6	6	5	6	5	6	7	7	7	45	1	44	2	44	2					48	16	15	17	57	8	34	20	36	6	48	2	307		2022-08-14 18:30:49	T	F	13	13	15	2	1.06	9
497			"base"	"interview"	2022-08-14 18:35:30	1		T	30	"""kontrollierbarkeit"" genauer zu erläutern könnte helfen :)"	1	T	7	7	6	4	1	5				4	5	4							5	6	4	5	2	4	2	7	5	4	4	5	6	4	3	46	1	44	1	44	1					36	10	159	17	194	14	88	30	80	14	78	79	578		2022-08-14 18:48:49	T	F	13	13	12	2	0.56	3
498			"base"	"interview"	2022-08-14 18:47:11	1	"Verwaltungsangestellte"	F	33		1	T	7	7	7	7	4	4							7	4	5				7	3	6	7	7	7	7	7	4	7	5	6	7	7	6	46	2	45	1	45	1					40	25	42	14	59	29	94	49	143	17	104	41	619		2022-08-14 18:58:08	T	F	13	13	15	2	0.47	1
499			"base"	"interview"	2022-08-14 19:00:38	2	"Sprachlehrer"	F	45		1	T	5	4	5				6	3	6	5	5	5				6	5	5				7	6	7	5	6	6	7	5	6	7	6	5	47	1	45	2	45	2					8	21	3	6	50	2	29	2	26	11	41	3	202		2022-08-14 19:04:00	T	F	13	13	15	2	1.66	86
500			"base"	"interview"	2022-08-14 19:01:04	2	"Psychotherapeut "	F	40		1	T	6	6	2	7	7	2							7	7	2				7	7	2	7	7	2	7	7	2	7	7	2	7	7	2	47	2	46	1	46	1					4	16	9	13	89	16	36	25	33	8	43	4	296		2022-08-14 19:06:00	T	F	13	13	15	2	1.12	11
501			"base"	"interview"	2022-08-14 19:06:46	2	"Conversational AI Consultant"	F	43		1	T	7	7	7				2	2	2	7	7	7				1	2	3				7	7	7	2	2	2	2	3	2	7	7	7	48	1	46	2	46	2	"Die Definition von Mutter, die die AI annimmt, wird verifizierbar "	"Siehe letzte Antwort"	"Zu wenig Informationen, es gibt zu viele Faktoren, die wechselseitig mit einander interagieren würden. Die Verifizierung der Entscheidung müsste viel mehr Daten enthalten, die sorgfältig geprüft werden müssten. Bedingt dadurch, dass ich nicht weiß, dass die Erklärung nur ein Modellbeispiel für eine komplexe Erklärung ist, sind nicht alle Werte bei 1."	"Siehe letzte Antwort. Viel zu wenige Informationen, um die Entscheidung der AI beurteilen zu können."	7	43	1	23	132	26	49	25	213	10	55	3	421		2022-08-14 19:16:33	T	F	13	13	3	1	0.89	43
505			"base"	"interview"	2022-08-14 22:00:54	1	"Tischlerin "	F	34		1	T	7	7	7	5	5	5							5	6	6	6	6	6				7	7	7	5	6	6	5	4	5	3	6	5	48	2	47	2	47	1					6	13	8	9	30	2	23	2	17	3	22	1	136		2022-08-14 22:03:10	T	F	13	13	15	2	2.17	102
507			"base"	"interview"	2022-08-14 23:15:50	1	"Sozialwissenschaftler"	F	26		1	T	6	4	4				6	1	1				7	7	4				1	1	1	6	6	4	6	7	4	7	7	4	7	7	4	49	2	47	1	47	2					14	23	43	13	48	26	26	33	46	13	38	2	325		2022-08-14 23:21:15	T	F	13	13	15	2	0.9	6
510			"base"	"interview"	2022-08-15 07:55:49	2	"Kaufmännische Tätigkeit"	F	29		1	T	7	6	6				6	5	6	7	7	7							6	6	7	6	6	6	6	6	6	2	4	6	6	5	7	49	1	48	1	48	2	"Ich kann leider nicht einschätzen, ob die KI durch die Informationen kontrollierbarer wird, gehe aber davon aus, dass logische Parameter als Grundlage einer KI helfen diese zu kontrollierbarer zu halten (da simple Logik-Parameter leichter angepasst werden können)."				124	18	253	15	187	43	77	31	86	19	123	5	597		2022-08-15 08:12:10	T	F	13	13	12	2	0.46	0
517			"base"	"interview"	2022-08-15 15:56:02	3	"Soziale Arbeit"	F	27		1	T	6	6	2	7	2	3				7	6	4				7	3	5				7	5	2	7	7	1	7	4	4	6	4	6	50	1	48	2	48	1	"Unverständlich, warum das die Kontrollierbarkeit erhöhen würde oder nicht."				32	12	30	11	98	19	56	21	57	10	49	3	398		2022-08-15 16:02:40	T	F	13	13	12	2	0.8	2
